,Ag2016,Arterials & Suburban Corridors2016,Developing2016,Established Communities2016,Rural & Small Town Main Street2016,Rural Residential2016,Small-Town Established Communities2016,Urban core2016,REGION2016,Ag2040,Arterials & Suburban Corridors2040,Developing2040,Established Communities2040,Rural & Small Town Main Street2040,Rural Residential2040,Small-Town Established Communities2040,Urban core2040,REGION2040
WALKDESTSalljob,578.9345474457442,5337.598082715118,945.1431045548768,3208.991897400595,2121.6426564872895,469.9902509645278,1364.000856776242,64913.70256122384,3842.410877719361,,,,,,,,,
BIKEDESTSalljob,4181.0142256888985,58753.26895822824,6511.420258560485,37113.50649253686,8340.183800099043,4359.477547562376,7127.5982283250505,213458.71280866358,37354.0237093426,,,,,,,,,
AUTODESTSalljob,153980.01422463678,581272.1813926157,308544.67136297125,510067.7869832301,150264.42310102345,180455.7855386203,115470.05312773891,775596.8807292792,475047.24569611414,,,,,,,,,
TRANDESTSalljob,1998.2257466212661,39399.81702759176,3391.2660119608463,20656.833789609966,5562.764840706503,1608.6562455774738,3942.737865508205,163632.2877949876,22213.193547074632,,,,,,,,,
WALKDESTSedu,1.083223163814789,6.116137176680751,1.678553169790824,4.80606669792341,3.959830307032024,0.8749865664170643,2.8359657898456954,15.148187138222761,4.638241418756692,,,,,,,,,
BIKEDESTSedu,6.986049105221374,53.544251060954565,9.967731374222655,40.36021847232496,14.15156421261142,7.208632703027579,11.725412674938292,116.92795528274283,38.1860827979409,,,,,,,,,
AUTODESTSedu,188.78230538206236,598.96543784912,349.61498891487736,526.1547325342686,184.26041218223835,222.13334429813358,163.77232310435943,822.9540932510655,492.5529013364859,,,,,,,,,
TRANDESTSedu,2.8561913802833065,29.99276711295406,5.00769989247431,19.98804998958678,9.372949983492903,2.745134420959795,6.3673234849555795,67.7121830672349,19.460658420459307,,,,,,,,,
WALKDESTSpoi2,2.921799791489321,23.408610137958803,4.949237842391726,17.393537487060424,14.1210127104655,2.691918431420622,9.683589238916499,84.08485051841487,17.147198276435414,,,,,,,,,
BIKEDESTSpoi2,24.681891995294162,199.25458633185085,35.42549533870593,146.64060380744067,49.18685572796302,24.794275012173646,43.011998510238044,485.22723490872085,140.100123535153,,,,,,,,,
AUTODESTSpoi2,141.74468919474705,686.1842636258035,276.07970203190297,552.587123726433,149.34917464509738,164.28148889728843,144.64461021519992,1297.8727816296673,520.3276979954376,,,,,,,,,
TRANDESTSpoi2,9.810816061061107,122.29326086755307,17.3879889924732,78.94860762493549,34.94070782436448,9.399060738864089,25.241365850741076,319.4746743209719,77.93892290099564,,,,,,,,,
TOT_COLLISNS,5539.0,10869.0,1307.0,29028.0,494.0,3108.0,1498.0,2991.0,55020.0,,,,,,,,,
TOT_COLLISNS_PER_100MVMT,38.261387870087155,81.91860709044987,40.697212673638816,67.67608178678405,73.89982127499242,49.81908055631997,61.135362311155795,98.52120983140283,63.36983481895877,,,,,,,,,
FATAL_COLLISNS,243.0,175.0,36.0,479.0,8.0,108.0,41.0,22.0,1113.0,,,,,,,,,
FATAL_COLLISNS_PER_100MVMT,1.678555199933414,1.3189581599805618,1.120963776779646,1.1167439429471393,1.1967582392711322,1.731164961416524,1.6732642555122743,0.7246628606789911,1.2819088722919139,,,,,,,,,
BIKEPED_COLLISNS,157.0,1751.0,108.0,3747.0,103.0,83.0,202.0,545.0,6723.0,,,,,,,,,
BIKEPED_COLLISNS_PER_CLMILE,0.03435522728098926,2.015364348787501,0.19834692412677613,0.5645147643661877,1.0529749815221,0.026295110259225422,0.2852451001700632,3.3821897544729946,0.4014009290876814,,,,,,,,,
mix_index_proj,0.4444690841589155,0.42466592552602567,0.48716946490514357,0.7448253620001763,0.29230477690197315,0.35447257463142046,0.6262206970088012,0.22767566428252106,0.9999891200962349,0.460004208238215,0.46878341688459224,0.5103271660601649,0.7395300212146002,0.3967636366319464,0.38245081278141335,0.6582471312842735,0.35973431030552794,0.9308534957530498
Intersxn_34_per_acre,0.0010358613033449168,0.14823101671056696,0.020811803951479465,0.12142166529471966,0.09128510575095719,0.007604989943938808,0.05884413477423325,0.37846124650969093,0.014800715983804317,,,,,,,,,
pct_roadmi_bikeways,0.01925486497230535,0.21276540701921592,0.14788268801694826,0.1865091210239666,0.27710929190247396,0.012312614391675851,0.09949633256047921,0.21897373041792786,0.10524657145350694,,,,,,,,,
TrnVehStop_Acre,0.00014827853334171186,1.9930423877659478,0.012345256964506921,0.5305234323207757,2.6382165900471786,0.003825097822740141,0.07414928495812816,8.475827141427393,0.07332683167880812,,,,,,,,,
pct_ej_pop,0.24178872418240605,0.6769243115151858,0.24228819695872555,0.3679790090112011,0.8339279922153746,0.05137670556252925,0.34730153421679694,0.5619245097350108,0.3746385676273582,,,,,,,,,
emp_ind_pct,0.4574722217703214,0.09335777108616249,0.22868241326550212,0.16420091105023224,0.0233746704013508,0.1519922431950119,0.13438717051823987,0.016589955364791357,0.13021497769289114,,,,,,,,,
job_du_dens_ac,0.012494691797364866,10.249114257121857,0.06274325182873551,4.103210505584405,6.519706801729156,0.12983708787623457,1.443210948938651,76.49671883523688,0.38506745756398186,,,,,,,,,
