,Ag,Arterials & Suburban Corridors,Developing,Established Communities,Rural & Small Town Main Street,Rural Residential,Small-Town Established Communities,Urban core,REGION,year
WALKDESTSalljob,578.9345474,5337.598083,945.1431046,3208.991897,2121.642656,469.990251,1364.000857,64913.70256,3842.410878,2016
BIKEDESTSalljob,4181.014226,58753.26896,6511.420259,37113.50649,8340.1838,4359.477548,7127.598228,213458.7128,37354.02371,2016
AUTODESTSalljob,153980.0142,581272.1814,308544.6714,510067.787,150264.4231,180455.7855,115470.0531,775596.8807,475047.2457,2016
TRANDESTSalljob,1998.225747,39399.81703,3391.266012,20656.83379,5562.764841,1608.656246,3942.737866,163632.2878,22213.19355,2016
WALKDESTSedu,1.083223164,6.116137177,1.67855317,4.806066698,3.959830307,0.874986566,2.83596579,15.14818714,4.638241419,2016
BIKEDESTSedu,6.986049105,53.54425106,9.967731374,40.36021847,14.15156421,7.208632703,11.72541267,116.9279553,38.1860828,2016
AUTODESTSedu,188.7823054,598.9654378,349.6149889,526.1547325,184.2604122,222.1333443,163.7723231,822.9540933,492.5529013,2016
TRANDESTSedu,2.85619138,29.99276711,5.007699892,19.98804999,9.372949983,2.745134421,6.367323485,67.71218307,19.46065842,2016
WALKDESTSpoi2,2.921799791,23.40861014,4.949237842,17.39353749,14.12101271,2.691918431,9.683589239,84.08485052,17.14719828,2016
BIKEDESTSpoi2,24.681892,199.2545863,35.42549534,146.6406038,49.18685573,24.79427501,43.01199851,485.2272349,140.1001235,2016
AUTODESTSpoi2,141.7446892,686.1842636,276.079702,552.5871237,149.3491746,164.2814889,144.6446102,1297.872782,520.327698,2016
TRANDESTSpoi2,9.810816061,122.2932609,17.38798899,78.94860762,34.94070782,9.399060739,25.24136585,319.4746743,77.9389229,2016
TOT_COLLISNS,5539,10869,1307,29028,494,3108,1498,2991,55020,2016
TOT_COLLISNS_PER_100MVMT,38.26138787,81.91860709,40.69721267,67.67608179,73.89982127,49.81908056,61.13536231,98.52120983,63.36983482,2016
FATAL_COLLISNS,243,175,36,479,8,108,41,22,1113,2016
FATAL_COLLISNS_PER_100MVMT,1.6785552,1.31895816,1.120963777,1.116743943,1.196758239,1.731164961,1.673264256,0.724662861,1.281908872,2016
BIKEPED_COLLISNS,157,1751,108,3747,103,83,202,545,6723,2016
BIKEPED_COLLISNS_PER_CLMILE,0.034355227,2.015364349,0.198346924,0.564514764,1.052974982,0.02629511,0.2852451,3.382189754,0.401400929,2016
mix_index,0.444469084,0.424665926,0.487169465,0.744825362,0.292304777,0.354472575,0.626220697,0.227675664,0.99998912,2016
Intersxn_34_per_acre,0.001035861,0.148231017,0.020811804,0.121421665,0.091285106,0.00760499,0.058844135,0.378461247,0.014800716,2016
pct_roadmi_bikeways,0.019254865,0.212765407,0.147882688,0.186509121,0.277109292,0.012312614,0.099496333,0.21897373,0.105246571,2016
TrnVehStop_Acre,0.000148279,1.993042388,0.012345257,0.530523432,2.63821659,0.003825098,0.074149285,8.475827141,0.073326832,2016
pct_ej_pop,0.241788724,0.676924312,0.242288197,0.367979009,0.833927992,0.051376706,0.347301534,0.56192451,0.374638568,2016
emp_ind_pct,0.457472222,0.093357771,0.228682413,0.164200911,0.02337467,0.151992243,0.134387171,0.016589955,0.130214978,2016
job_du_dens_ac,0.012494692,10.24911426,0.062743252,4.103210506,6.519706802,0.129837088,1.443210949,76.49671884,0.385067458,2016
mix_index,0.460004208,0.468783417,0.510327166,0.739530021,0.396763637,0.382450813,0.658247131,0.35973431,0.930853496,2040
